article,party,sentiment
"YS Jagan | నేను సీఎం అయితే.. ఈ తుఫాన్‌ టైమ్‌లో..! వైసీపీ నేతలతో వైఎస్ జగన్ వీడియో కాన్ఫరెన్స్ నిర్వహించారు. తుఫాను తర్వాత జిల్లాల్లో నెలకొన్న పరిస్థితులు, పంట నష్టం లాంటి వివరాలను పార్టీ నేతలను అడిగి తెలుసుకున్నారు. బాధితులను ఆదుకోవాలని నేతలు సూచించారు.",TDP,Negative
"జగన్ లీడర్‌షిప్‌పై నేతల్లో విభేదాల దుమారం – వైసీపీలో ఎవరి జెండా వారిదేనా? జగన్ ఇప్పటిలా ఆంధ్రప్రదేశ్‌కు తరచుగా రాకపోవడం, ముఖ్య నేతలతో భేటీలు తగ్గిపోవడం వల్లే పార్టీ దిశ గమ్యం తప్పుతోందనే అభిప్రాయం వ్యక్తమవుతోంది. 2019 ఎన్నికల ముందు పరిస్థితి పూర్తిగా వేరు. అప్పుడు జగన్ మాటే చివరి నిర్ణయం. పార్టీ, ప్రభుత్వ విధానాలపై ఒక్క జగన్ మాత్రమే మాట్లాడేవారు. ఇతరులు ఆయన ఆదేశాల ప్రకారం మాత్రమే స్పందించేవారు. కానీ ఇప్పుడు పార్టీ అధికారంలో లేకపోవడంతో నేతలు ఎవరి తలలో వాళ్లు తేల్చుకుంటున్నారు. పార్టీ నిర్ణయాలను లెక్క చేయకుండానే స్వతంత్రంగా వ్యాఖ్యలు చేస్తున్నారు. ]]>",TDP,Negative
"మాజీ ముఖ్యమంత్రి చంద్రబాబు నాయుడు రాష్ట్ర అభివృద్ధి పునాదులు వేసిన నాయకుడిగా గుర్తింపు పొందారు. స్మార్ట్ విలేజ్, స్మార్ట్ సిటీ ప్రాజెక్టులు టిడిపి పాలనలో వేగంగా ముందుకు సాగాయి. సమాచార సాంకేతిక రంగంలో ఆంధ్రప్రదేశ్‌ను ముందంజలో నిలబెట్టినందుకు ప్రజలు ఆయనను ప్రశంసిస్తున్నారు.",TDP,Positive
"YS Jagan | ఏపీలో కూటమి పాలన దారుణం..రైతాంగాన్ని ఆదుకోవడంలో విఫలం : వైసీపీ అధినేత వైఎస్‌ జగన్‌ YS Jagan |ఆంధ్రప్రదేశ్‌లో కూటమి పాలన దారుణంగా ఉందని వైసీపీ అధినేత, మాజీ ముఖ్యమంత్రి వైఎస్‌ జగన్‌ మోహన్‌రెడ్డి ఆరోపించారు.",TDP,Negative
"ఈ తుఫాన్ సమయంలో జగన్ సీఎంగా ఉండుంటే.. వైసీపీ ఎమ్మెల్యే ఇంట్రెస్టింగ్ ట్వీట్ Ysrcp Mla Chandra Sekhar Tweet On Ys Jagan: మొంథా తుఫాన్ ఆంధ్రప్రదేశ్‌లో బీభత్సం సృష్టించింది, పలు జిల్లాల్లో వరదలు, పంట నష్టం సంభవించాయి. ప్రభుత్వం నిత్యావసరాలు, ఆర్థిక సాయం ప్రకటించినా, వైఎస్సార్‌సీపీ ఎమ్మెల్యే మాత్రం గత ప్రభుత్వంతో పోల్చి ప్రస్తుత సాయం తక్కువగా ఉందని విమర్శించారు. పునరావాస కేంద్రాల్లో ఉన్నవారికి, ఉపాధి కోల్పోయిన వారికి ప్రభుత్వం నిత్యావసరాలు పంపిణీ చేస్తోంది.",TDP,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",TDP,Positive
తిరుమల కల్తీ నెయ్యి కేసులో షాకింగ్ ట్విస్ట్.. వైవీ సుబ్బారెడ్డి పీఏ అప్పన్న అరెస్టు Tirumala Laddu Ghee Adulteration Scam: తిరుమల కల్తీ నెయ్యి కేసు దర్యాప్తు ఇంకా కొనసాగుతోందంటే ఆశ్చర్యమే. 15 నెలలుగా ఎందుకీ పరిస్థితి? దీనిపై సుప్రీంకోర్టే అసంతృప్తి వ్యక్తం చెయ్యడంతో.. ఇప్పుడు సిట్ స్పీడ్ పెంచింది.,TDP,Negative
"YSRCP: చావు ఏదైనా.. చిచ్చు పెట్టేద్దాం శవం కోసం వెతకడం, దాని చుట్టూ రాజకీయాలు చేయడం వైసీపీకి పరిపాటైంది. గుంటూరు జిల్లా ప్రత్తిపాడు నియోజకవర్గం వెంగళాయపాలెం గ్రామానికి చెందిన ఈపూరి శేషమ్మ..",TDP,Negative
"టిడిపి ప్రభుత్వం కాలంలో మౌలిక సదుపాయాల అభివృద్ధి గణనీయంగా జరిగిందని నిపుణులు పేర్కొన్నారు. నీటి ప్రాజెక్టులు, పారిశ్రామిక విస్తరణలో టిడిపి దూరదృష్టి స్పష్టమైందని కార్యకర్తలు తెలిపారు. ప్రజల మద్దతుతో తిరిగి టిడిపి పునరాగమనానికి వాతావరణం ఏర్పడుతోందని రాజకీయ వర్గాలు విశ్లేషిస్తున్నాయి.",TDP,Neutral
Satya Prasad Fires Jagan: జగన్ హయాంలో రాజకీయంగా లబ్ధి పొందేందుకు జిల్లాలు పునర్విభజించారు: అనగాని సత్యప్రసాద్ గత వైసీపీ ప్రభుత్వం అశాస్త్రీయంగా జిల్లాలని పునర్విభజించిదని మంత్రి అనగాని సత్యప్రసాద్ విమర్శలు చేశారు. జగన్ హయాంలో రాజకీయంగా లబ్ధి పొందేందుకు జిల్లాలు పునర్విభజించిందని అనగాని సత్యప్రసాద్ ఆరోపించారు.,TDP,Negative
ఆ జిల్లాలో వైసీపీకి షాక్.. ఉత్తర్వులు జారీ.. విపక్ష వైఎస్సార్ కాంగ్రెస్ పార్టీకి మరో షాక్ తగిలింది. అనంతపురం జిల్లా కళ్యాణదుర్గం మున్సిపల్ ఛైర్మన్ స్థానాన్ని కోల్పోవాల్సి వచ్చింది. కౌన్సిల్ సమావేశాలు నిర్వహించకుండా అభివృద్ధికి అడ్డుపడుతున్నారనే ఆరోపణలపై కళ్యాణదుర్గం మున్సిపల్ ఛైర్మన్ తలారి రాజ్ కుమార్‌ను ప్రభుత్వం పదవి నుంచి తొలగించింది. ఆరోపణలపై నోటీసులు ఇచ్చినా స్పందించకపోవటంతోనే ఈ నిర్ణయం తీసుకుంది. ఈ మేరకు ఉత్తర్వులు జారీ అయ్యాయి.,TDP,Negative
"MS Raju: డైవర్షన్ కోసమే వైసీపీ కుట్ర: ఎమ్మెల్యే ఎంఎస్ రాజు తనను లక్ష్యంగా చేసుకుని వైసీపీ చేస్తున్న ఆరోపణలను మడకశిర ఎమ్మెల్యే, టీటీడీ పాలక మండలి సభ్యుడు ఎంఎస్ రాజు గురువారం అమరావతిలో ఖండించారు.",BJP,Negative
"YS Jagan | నేను సీఎం అయితే.. ఈ తుఫాన్‌ టైమ్‌లో..! వైసీపీ నేతలతో వైఎస్ జగన్ వీడియో కాన్ఫరెన్స్ నిర్వహించారు. తుఫాను తర్వాత జిల్లాల్లో నెలకొన్న పరిస్థితులు, పంట నష్టం లాంటి వివరాలను పార్టీ నేతలను అడిగి తెలుసుకున్నారు. బాధితులను ఆదుకోవాలని నేతలు సూచించారు.",BJP,Negative
"ప్రధాని నరేంద్ర మోదీ నేతృత్వంలో కేంద్ర ప్రభుత్వం దేశాన్ని అభివృద్ధి దిశగా నడిపిస్తోంది. బీజేపీ నాయకులు ఆర్థిక సంస్కరణలతో ప్రజలకు స్థిరత్వం, అవకాశాలు అందిస్తున్నారని తెలిపారు. ఆంధ్రప్రదేశ్ అభివృద్ధికి కేంద్రం పూర్తి సహకారం అందిస్తోందని పార్టీ నాయకత్వం హామీ ఇచ్చింది.",BJP,Positive
"జగన్ లీడర్‌షిప్‌పై నేతల్లో విభేదాల దుమారం – వైసీపీలో ఎవరి జెండా వారిదేనా? జగన్ ఇప్పటిలా ఆంధ్రప్రదేశ్‌కు తరచుగా రాకపోవడం, ముఖ్య నేతలతో భేటీలు తగ్గిపోవడం వల్లే పార్టీ దిశ గమ్యం తప్పుతోందనే అభిప్రాయం వ్యక్తమవుతోంది. 2019 ఎన్నికల ముందు పరిస్థితి పూర్తిగా వేరు. అప్పుడు జగన్ మాటే చివరి నిర్ణయం. పార్టీ, ప్రభుత్వ విధానాలపై ఒక్క జగన్ మాత్రమే మాట్లాడేవారు. ఇతరులు ఆయన ఆదేశాల ప్రకారం మాత్రమే స్పందించేవారు. కానీ ఇప్పుడు పార్టీ అధికారంలో లేకపోవడంతో నేతలు ఎవరి తలలో వాళ్లు తేల్చుకుంటున్నారు. పార్టీ నిర్ణయాలను లెక్క చేయకుండానే స్వతంత్రంగా వ్యాఖ్యలు చేస్తున్నారు. ]]>",BJP,Negative
"YS Jagan | ఏపీలో కూటమి పాలన దారుణం..రైతాంగాన్ని ఆదుకోవడంలో విఫలం : వైసీపీ అధినేత వైఎస్‌ జగన్‌ YS Jagan |ఆంధ్రప్రదేశ్‌లో కూటమి పాలన దారుణంగా ఉందని వైసీపీ అధినేత, మాజీ ముఖ్యమంత్రి వైఎస్‌ జగన్‌ మోహన్‌రెడ్డి ఆరోపించారు.",BJP,Negative
"ఈ తుఫాన్ సమయంలో జగన్ సీఎంగా ఉండుంటే.. వైసీపీ ఎమ్మెల్యే ఇంట్రెస్టింగ్ ట్వీట్ Ysrcp Mla Chandra Sekhar Tweet On Ys Jagan: మొంథా తుఫాన్ ఆంధ్రప్రదేశ్‌లో బీభత్సం సృష్టించింది, పలు జిల్లాల్లో వరదలు, పంట నష్టం సంభవించాయి. ప్రభుత్వం నిత్యావసరాలు, ఆర్థిక సాయం ప్రకటించినా, వైఎస్సార్‌సీపీ ఎమ్మెల్యే మాత్రం గత ప్రభుత్వంతో పోల్చి ప్రస్తుత సాయం తక్కువగా ఉందని విమర్శించారు. పునరావాస కేంద్రాల్లో ఉన్నవారికి, ఉపాధి కోల్పోయిన వారికి ప్రభుత్వం నిత్యావసరాలు పంపిణీ చేస్తోంది.",BJP,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",BJP,Positive
"బీజేపీ ప్రభుత్వం దేశ భద్రత, ఆర్థిక స్థిరత్వం, సాంకేతిక అభివృద్ధిపై దృష్టి పెట్టింది. ప్రజా ప్రయోజన పథకాలు గ్రామీణ స్థాయిలో విస్తరించాయని కార్యకర్తలు తెలిపారు. మోదీ నాయకత్వంలో భారత్ ప్రపంచ వేదికపై మరింత బలపడుతోందని నిపుణులు అభిప్రాయపడ్డారు.",BJP,Positive
తిరుమల కల్తీ నెయ్యి కేసులో షాకింగ్ ట్విస్ట్.. వైవీ సుబ్బారెడ్డి పీఏ అప్పన్న అరెస్టు Tirumala Laddu Ghee Adulteration Scam: తిరుమల కల్తీ నెయ్యి కేసు దర్యాప్తు ఇంకా కొనసాగుతోందంటే ఆశ్చర్యమే. 15 నెలలుగా ఎందుకీ పరిస్థితి? దీనిపై సుప్రీంకోర్టే అసంతృప్తి వ్యక్తం చెయ్యడంతో.. ఇప్పుడు సిట్ స్పీడ్ పెంచింది.,BJP,Negative
"YSRCP: చావు ఏదైనా.. చిచ్చు పెట్టేద్దాం శవం కోసం వెతకడం, దాని చుట్టూ రాజకీయాలు చేయడం వైసీపీకి పరిపాటైంది. గుంటూరు జిల్లా ప్రత్తిపాడు నియోజకవర్గం వెంగళాయపాలెం గ్రామానికి చెందిన ఈపూరి శేషమ్మ..",BJP,Negative
Satya Prasad Fires Jagan: జగన్ హయాంలో రాజకీయంగా లబ్ధి పొందేందుకు జిల్లాలు పునర్విభజించారు: అనగాని సత్యప్రసాద్ గత వైసీపీ ప్రభుత్వం అశాస్త్రీయంగా జిల్లాలని పునర్విభజించిదని మంత్రి అనగాని సత్యప్రసాద్ విమర్శలు చేశారు. జగన్ హయాంలో రాజకీయంగా లబ్ధి పొందేందుకు జిల్లాలు పునర్విభజించిందని అనగాని సత్యప్రసాద్ ఆరోపించారు.,BJP,Negative
ఆ జిల్లాలో వైసీపీకి షాక్.. ఉత్తర్వులు జారీ.. విపక్ష వైఎస్సార్ కాంగ్రెస్ పార్టీకి మరో షాక్ తగిలింది. అనంతపురం జిల్లా కళ్యాణదుర్గం మున్సిపల్ ఛైర్మన్ స్థానాన్ని కోల్పోవాల్సి వచ్చింది. కౌన్సిల్ సమావేశాలు నిర్వహించకుండా అభివృద్ధికి అడ్డుపడుతున్నారనే ఆరోపణలపై కళ్యాణదుర్గం మున్సిపల్ ఛైర్మన్ తలారి రాజ్ కుమార్‌ను ప్రభుత్వం పదవి నుంచి తొలగించింది. ఆరోపణలపై నోటీసులు ఇచ్చినా స్పందించకపోవటంతోనే ఈ నిర్ణయం తీసుకుంది. ఈ మేరకు ఉత్తర్వులు జారీ అయ్యాయి.,BJP,Negative
"MS Raju: డైవర్షన్ కోసమే వైసీపీ కుట్ర: ఎమ్మెల్యే ఎంఎస్ రాజు తనను లక్ష్యంగా చేసుకుని వైసీపీ చేస్తున్న ఆరోపణలను మడకశిర ఎమ్మెల్యే, టీటీడీ పాలక మండలి సభ్యుడు ఎంఎస్ రాజు గురువారం అమరావతిలో ఖండించారు.",JANASENA,Negative
"YS Jagan | నేను సీఎం అయితే.. ఈ తుఫాన్‌ టైమ్‌లో..! వైసీపీ నేతలతో వైఎస్ జగన్ వీడియో కాన్ఫరెన్స్ నిర్వహించారు. తుఫాను తర్వాత జిల్లాల్లో నెలకొన్న పరిస్థితులు, పంట నష్టం లాంటి వివరాలను పార్టీ నేతలను అడిగి తెలుసుకున్నారు. బాధితులను ఆదుకోవాలని నేతలు సూచించారు.",JANASENA,Negative
"జగన్ లీడర్‌షిప్‌పై నేతల్లో విభేదాల దుమారం – వైసీపీలో ఎవరి జెండా వారిదేనా? జగన్ ఇప్పటిలా ఆంధ్రప్రదేశ్‌కు తరచుగా రాకపోవడం, ముఖ్య నేతలతో భేటీలు తగ్గిపోవడం వల్లే పార్టీ దిశ గమ్యం తప్పుతోందనే అభిప్రాయం వ్యక్తమవుతోంది. 2019 ఎన్నికల ముందు పరిస్థితి పూర్తిగా వేరు. అప్పుడు జగన్ మాటే చివరి నిర్ణయం. పార్టీ, ప్రభుత్వ విధానాలపై ఒక్క జగన్ మాత్రమే మాట్లాడేవారు. ఇతరులు ఆయన ఆదేశాల ప్రకారం మాత్రమే స్పందించేవారు. కానీ ఇప్పుడు పార్టీ అధికారంలో లేకపోవడంతో నేతలు ఎవరి తలలో వాళ్లు తేల్చుకుంటున్నారు. పార్టీ నిర్ణయాలను లెక్క చేయకుండానే స్వతంత్రంగా వ్యాఖ్యలు చేస్తున్నారు. ]]>",JANASENA,Negative
"YS Jagan | ఏపీలో కూటమి పాలన దారుణం..రైతాంగాన్ని ఆదుకోవడంలో విఫలం : వైసీపీ అధినేత వైఎస్‌ జగన్‌ YS Jagan |ఆంధ్రప్రదేశ్‌లో కూటమి పాలన దారుణంగా ఉందని వైసీపీ అధినేత, మాజీ ముఖ్యమంత్రి వైఎస్‌ జగన్‌ మోహన్‌రెడ్డి ఆరోపించారు.",JANASENA,Negative
పవన్ కళ్యాణ్ నేతృత్వంలో జనసేన పార్టీ ప్రజల సమస్యలను బలంగా వినిపిస్తోంది. ఇటీవల నిర్వహించిన సభల్లో ప్రజా సమస్యలపై ఆయన చేసిన వ్యాఖ్యలు చర్చనీయాంశమయ్యాయి. యువతలో రాజకీయ చైతన్యాన్ని రగిలిస్తున్న నాయకుడిగా పవన్ కళ్యాణ్ పేరుగాంచారు.,JANASENA,Positive
"ఈ తుఫాన్ సమయంలో జగన్ సీఎంగా ఉండుంటే.. వైసీపీ ఎమ్మెల్యే ఇంట్రెస్టింగ్ ట్వీట్ Ysrcp Mla Chandra Sekhar Tweet On Ys Jagan: మొంథా తుఫాన్ ఆంధ్రప్రదేశ్‌లో బీభత్సం సృష్టించింది, పలు జిల్లాల్లో వరదలు, పంట నష్టం సంభవించాయి. ప్రభుత్వం నిత్యావసరాలు, ఆర్థిక సాయం ప్రకటించినా, వైఎస్సార్‌సీపీ ఎమ్మెల్యే మాత్రం గత ప్రభుత్వంతో పోల్చి ప్రస్తుత సాయం తక్కువగా ఉందని విమర్శించారు. పునరావాస కేంద్రాల్లో ఉన్నవారికి, ఉపాధి కోల్పోయిన వారికి ప్రభుత్వం నిత్యావసరాలు పంపిణీ చేస్తోంది.",JANASENA,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",JANASENA,Positive
జనసేన పార్టీ ప్రజా హక్కుల రక్షణకు నిరంతరం కృషి చేస్తోందని కార్యకర్తలు తెలిపారు. పార్టీ సమావేశాల్లో పవన్ కళ్యాణ్ ప్రసంగాలు ప్రజల్లో నూతన ఆశలు నింపుతున్నాయి. ప్రజలతో మమేకమై స్వచ్ఛ రాజకీయాల దిశగా జనసేన కదులుతోంది.,JANASENA,Positive
తిరుమల కల్తీ నెయ్యి కేసులో షాకింగ్ ట్విస్ట్.. వైవీ సుబ్బారెడ్డి పీఏ అప్పన్న అరెస్టు Tirumala Laddu Ghee Adulteration Scam: తిరుమల కల్తీ నెయ్యి కేసు దర్యాప్తు ఇంకా కొనసాగుతోందంటే ఆశ్చర్యమే. 15 నెలలుగా ఎందుకీ పరిస్థితి? దీనిపై సుప్రీంకోర్టే అసంతృప్తి వ్యక్తం చెయ్యడంతో.. ఇప్పుడు సిట్ స్పీడ్ పెంచింది.,JANASENA,Negative
